class_uri,class_curie,class_label,predicate_uri,predicate_curie,predicate_label,count
https://w3id.org/polifonia/ontology/music-meta/MusicArtist,mm:MusicArtist,mm:MusicArtist,http://schema.org/sameAs,schema:sameAs,schema:sameAs,81
http://schema.org/MusicAlbum,schema:MusicAlbum,schema:MusicAlbum,http://schema.org/sameAs,schema:sameAs,schema:sameAs,78
http://schema.org/Person,schema:Person,schema:Person,http://schema.org/identifier,schema:identifier,schema:identifier,53
https://w3id.org/polifonia/ontology/music-meta/Musician,mm:Musician,mm:Musician,http://schema.org/identifier,schema:identifier,schema:identifier,53
http://schema.org/ItemList,schema:ItemList,schema:ItemList,http://schema.org/about,schema:about,schema:about,52
http://schema.org/ItemList,schema:ItemList,schema:ItemList,http://schema.org/itemListOrder,schema:itemListOrder,schema:itemListOrder,52
https://w3id.org/polifonia/ontology/music-meta/LivePerformance,mm:LivePerformance,mm:LivePerformance,http://schema.org/isPartOf,schema:isPartOf,schema:isPartOf,52
https://w3id.org/polifonia/ontology/music-meta/LivePerformance,mm:LivePerformance,mm:LivePerformance,http://schema.org/name,schema:name,schema:name,52
https://w3id.org/polifonia/ontology/music-meta/LivePerformance,mm:LivePerformance,mm:LivePerformance,http://schema.org/performer,schema:performer,schema:performer,52
https://w3id.org/polifonia/ontology/music-meta/LivePerformance,mm:LivePerformance,mm:LivePerformance,http://wembrewind.live/ex#setList,ex:setList,ex:setList,52
http://schema.org/ItemList,schema:ItemList,schema:ItemList,http://schema.org/numberOfItems,schema:numberOfItems,schema:numberOfItems,51
https://w3id.org/polifonia/ontology/music-meta/LivePerformance,mm:LivePerformance,mm:LivePerformance,http://schema.org/location,schema:location,schema:location,51
https://w3id.org/polifonia/ontology/music-meta/LivePerformance,mm:LivePerformance,mm:LivePerformance,http://schema.org/startDate,schema:startDate,schema:startDate,51
http://schema.org/MusicAlbum,schema:MusicAlbum,schema:MusicAlbum,http://schema.org/byArtist,schema:byArtist,schema:byArtist,39
http://schema.org/MusicAlbum,schema:MusicAlbum,schema:MusicAlbum,http://schema.org/datePublished,schema:datePublished,schema:datePublished,39
http://schema.org/MusicAlbum,schema:MusicAlbum,schema:MusicAlbum,http://schema.org/name,schema:name,schema:name,39
http://schema.org/MusicAlbum,schema:MusicAlbum,schema:MusicAlbum,http://wembrewind.live/ex#isDebutAlbum,ex:isDebutAlbum,ex:isDebutAlbum,39
http://schema.org/Person,schema:Person,schema:Person,http://schema.org/image,schema:image,schema:image,37
https://w3id.org/polifonia/ontology/music-meta/Musician,mm:Musician,mm:Musician,http://schema.org/image,schema:image,schema:image,37
http://schema.org/VideoObject,schema:VideoObject,schema:VideoObject,http://schema.org/embedUrl,schema:embedUrl,schema:embedUrl,33
http://schema.org/VideoObject,schema:VideoObject,schema:VideoObject,http://schema.org/provider,schema:provider,schema:provider,33
http://schema.org/VideoObject,schema:VideoObject,schema:VideoObject,http://schema.org/url,schema:url,schema:url,33
https://w3id.org/polifonia/ontology/music-meta/MusicEntity,mm:MusicEntity,mm:MusicEntity,http://schema.org/video,schema:video,schema:video,33
http://schema.org/MusicGroup,schema:MusicGroup,schema:MusicGroup,http://schema.org/name,schema:name,schema:name,31
https://w3id.org/polifonia/ontology/music-meta/MusicArtist,mm:MusicArtist,mm:MusicArtist,http://schema.org/name,schema:name,schema:name,31
http://schema.org/MusicGroup,schema:MusicGroup,schema:MusicGroup,http://schema.org/description,schema:description,schema:description,30
http://schema.org/MusicGroup,schema:MusicGroup,schema:MusicGroup,http://schema.org/foundingDate,schema:foundingDate,schema:foundingDate,30
http://schema.org/MusicGroup,schema:MusicGroup,schema:MusicGroup,http://schema.org/image,schema:image,schema:image,30
http://schema.org/MusicGroup,schema:MusicGroup,schema:MusicGroup,http://www.w3.org/2002/07/owl#sameAs,owl:sameAs,owl:sameAs,30
https://w3id.org/polifonia/ontology/music-meta/MusicArtist,mm:MusicArtist,mm:MusicArtist,http://schema.org/description,schema:description,schema:description,30
https://w3id.org/polifonia/ontology/music-meta/MusicArtist,mm:MusicArtist,mm:MusicArtist,http://schema.org/foundingDate,schema:foundingDate,schema:foundingDate,30
https://w3id.org/polifonia/ontology/music-meta/MusicArtist,mm:MusicArtist,mm:MusicArtist,http://schema.org/image,schema:image,schema:image,30
https://w3id.org/polifonia/ontology/music-meta/MusicArtist,mm:MusicArtist,mm:MusicArtist,http://www.w3.org/2002/07/owl#sameAs,owl:sameAs,owl:sameAs,30
http://schema.org/MusicGroup,schema:MusicGroup,schema:MusicGroup,http://schema.org/foundingLocation,schema:foundingLocation,schema:foundingLocation,29
https://w3id.org/polifonia/ontology/music-meta/MusicArtist,mm:MusicArtist,mm:MusicArtist,http://schema.org/foundingLocation,schema:foundingLocation,schema:foundingLocation,29
http://wembrewind.live/ex#MusicInstrument,ex:MusicInstrument,ex:MusicInstrument,http://schema.org/sameAs,schema:sameAs,schema:sameAs,28
http://schema.org/Person,schema:Person,schema:Person,http://schema.org/birthDate,schema:birthDate,schema:birthDate,26
http://schema.org/Person,schema:Person,schema:Person,http://schema.org/birthPlace,schema:birthPlace,schema:birthPlace,26
http://schema.org/Person,schema:Person,schema:Person,http://schema.org/description,schema:description,schema:description,26
http://schema.org/Person,schema:Person,schema:Person,http://schema.org/gender,schema:gender,schema:gender,26
http://schema.org/Person,schema:Person,schema:Person,http://www.w3.org/2002/07/owl#sameAs,owl:sameAs,owl:sameAs,26
https://w3id.org/polifonia/ontology/music-meta/Musician,mm:Musician,mm:Musician,http://schema.org/birthDate,schema:birthDate,schema:birthDate,26
https://w3id.org/polifonia/ontology/music-meta/Musician,mm:Musician,mm:Musician,http://schema.org/birthPlace,schema:birthPlace,schema:birthPlace,26
https://w3id.org/polifonia/ontology/music-meta/Musician,mm:Musician,mm:Musician,http://schema.org/description,schema:description,schema:description,26
https://w3id.org/polifonia/ontology/music-meta/Musician,mm:Musician,mm:Musician,http://schema.org/gender,schema:gender,schema:gender,26
https://w3id.org/polifonia/ontology/music-meta/Musician,mm:Musician,mm:Musician,http://www.w3.org/2002/07/owl#sameAs,owl:sameAs,owl:sameAs,26
http://schema.org/MusicGroup,schema:MusicGroup,schema:MusicGroup,http://schema.org/identifier,schema:identifier,schema:identifier,25
https://w3id.org/polifonia/ontology/music-meta/MusicArtist,mm:MusicArtist,mm:MusicArtist,http://schema.org/identifier,schema:identifier,schema:identifier,25
http://schema.org/CreativeWork,schema:CreativeWork,schema:CreativeWork,http://schema.org/about,schema:about,schema:about,15
http://schema.org/Review,schema:Review,schema:Review,http://schema.org/reviewAspect,schema:reviewAspect,schema:reviewAspect,15
